Stock Code,Requested Quantity,Batch Size,Unit Price,Total Price
nf,,,,
TMK105BJ104KV-F,105,100,0.0151,1.59
CL21A106KAYNNNE,105,100,0.0473,4.97
RC0402FR-07953RL,105,100,0.0056,0.59
RC0402FR-073KL,105,100,0.0097,1.02
RMCF0402FT1K00,105,100,0.0069,0.72
CSRF1206FT10L0,105,100,0.2546,26.73
ERJ-2RKF1800X,105,100,0.0125,1.31
CRGCQ0402F4K7,105,100,0.0106,1.11
RMCF0402FT1K00,105,100,0.0069,0.72
RMCF0402FT1K00,105,100,0.0069,0.72
"PCA9534BS,118",105,100,0.9832,103.24
PCA9547BS_118,105,100,1.3129,137.85
74HC4067PW-Q100J,105,100,0.6486,68.1
INA181A3IDBVT,105,100,0.5305,55.7
MCP9843T-BE/ST,,,,
RPM5,105,100,0.6528,68.54
L78L33CD-TR,105,100,0.1401,14.71
151031VS06000,105,100,0.1197,12.57
DRTR5V0U2SR-7,105,100,0.162,17.01
2-644861-5,105,100,0.6909,72.54
2-644861-2,105,100,0.2784,29.23
2-644861-6,105,100,0.7534,79.11
0ZRN0300FF1E,105,100,0.4655,48.88
0ZRN0300FF1E,105,100,0.4655,48.88
0ZRN0300FF1E,105,100,0.4655,48.88
RUSBF110-2,105,100,0.36,37.8
NO FIT,,,,
adafruit qt py,,,,
2-644861-3,105,100,0.3086,32.4
L0603100GGSTR,105,3000,0.31517,33.09
2-647123-9,105,500,2.6996,283.46
NO FIT,,,,
